YEAR,WOOD_SUPPLIER_TRASE_ID,WOOD_SUPPLIER_CORPORATE_GROUP,WOOD_SUPPLIER,WOOD_SUPPLIER_PROVINCE,WOOD_SUPPLIER_ISLAND,MILL_CORPORATE_GROUP,MILL,WOOD_SOURCE,PULPWOOD_VOLUME_M3
2015,ID-WOOD-CONCESSION-0433,SINAR MAS,PT BUMI PERSADA PERMAI,SUMATERA SELATAN,SUMATRA,SINAR MAS,INDAH KIAT,PLANTATION,"534631,66"
2015,ID-WOOD-CONCESSION-0441,UNKNOWN AFFILIATION,PT CITRA SUMBER SEJAHTERA,RIAU,SUMATRA,ROYAL GOLDEN EAGLE,APRIL,PLANTATION,"170111,63"
2015,ID-WOOD-CONCESSION-0442,UNKNOWN AFFILIATION,PT EKAWANA LESTARI DARMA,RIAU,SUMATRA,ROYAL GOLDEN EAGLE,APRIL,PLANTATION,"259967,63"
2015,ID-WOOD-CONCESSION-0280,SINAR MAS,PT FINNANTARA INTIGA,KALIMANTAN BARAT,KALIMANTAN,SINAR MAS,INDAH KIAT,PLANTATION,"96413,46"
2015,ID-WOOD-CONCESSION-0361,UNKNOWN AFFILIATION,PT HUTAN KETAPANG IND,KALIMANTAN BARAT,KALIMANTAN,MARUBENI,TANJUNG ENIM LESTARI,PLANTATION,"7884,25"
2015,ID-WOOD-CONCESSION-0377,SINAR MAS,PT HUTAN RINDANG BANUA,KALIMANTAN SELATAN,KALIMANTAN,MARUBENI,TANJUNG ENIM LESTARI,PLANTATION,"193959,55"
2015,ID-WOOD-CONCESSION-0264,GOVERNMENT,PT INHUTANI II (PULAU LAUT),KALIMANTAN SELATAN,KALIMANTAN,MARUBENI,TANJUNG ENIM LESTARI,PLANTATION,"36984,4"
2015,ID-WOOD-CONCESSION-0564,GOVERNMENT,PT INHUTANI II (TANAH GROGOT),KALIMANTAN TIMUR,KALIMANTAN,MARUBENI,TANJUNG ENIM LESTARI,PLANTATION,"61383,43"
2015,ID-WOOD-CONCESSION-0496,UNKNOWN AFFILIATION,PT INTRACA HUTANI LESTARI,KALIMANTAN UTARA,KALIMANTAN,MARUBENI,TANJUNG ENIM LESTARI,PLANTATION,"18474,61"
2015,ID-WOOD-CONCESSION-0565,ROYAL GOLDEN EAGLE,PT ITCI HUTANI MANUNGGAL,KALIMANTAN TIMUR,KALIMANTAN,ROYAL GOLDEN EAGLE,APRIL,PLANTATION,"259779,39"
2015,ID-WOOD-CONCESSION-0365,KORINDO,PT KORINTIGA HUTANI,KALIMANTAN TENGAH,KALIMANTAN,MARUBENI,TANJUNG ENIM LESTARI,PLANTATION,"457014,94"
2015,ID-WOOD-CONCESSION-0365,KORINDO,PT KORINTIGA HUTANI,KALIMANTAN TENGAH,KALIMANTAN,ROYAL GOLDEN EAGLE,APRIL,PLANTATION,"417592,2"
2015,ID-WOOD-CONCESSION-0474,UNKNOWN AFFILIATION,PT MERBAU PELALAWAN LESTARI,RIAU,SUMATRA,ROYAL GOLDEN EAGLE,APRIL,PLANTATION,"7138,17"
2015,ID-WOOD-CONCESSION-0445,SINAR MAS,PT MITRA HUTANI JAYA,RIAU,SUMATRA,SINAR MAS,INDAH KIAT,PLANTATION,"165423,39"
2015,ID-WOOD-CONCESSION-0437,UNKNOWN AFFILIATION,PT MITRA KEMBANG SELARAS,RIAU,SUMATRA,ROYAL GOLDEN EAGLE,APRIL,PLANTATION,"383825,96"
2015,ID-WOOD-CONCESSION-0444,UNKNOWN AFFILIATION,PT MITRA TANI NUSA SEJATI,RIAU,SUMATRA,ROYAL GOLDEN EAGLE,APRIL,PLANTATION,"17173,53"
2015,ID-WOOD-CONCESSION-0636,MARUBENI,PT MUSI HUTAN PERSADA,SUMATERA SELATAN,SUMATRA,MARUBENI,TANJUNG ENIM LESTARI,PLANTATION,"798982,69"
2015,ID-WOOD-CONCESSION-0467,UNKNOWN AFFILIATION,CV MUTIARA LESTARI,RIAU,SUMATRA,ROYAL GOLDEN EAGLE,APRIL,PLANTATION,"7655,53"
2015,ID-WOOD-CONCESSION-0644,UNKNOWN AFFILIATION,PT MUTIARA SABUK KHATULISTIWA,RIAU,SUMATRA,SINAR MAS,INDAH KIAT,PLANTATION,"414832,04"
2015,ID-WOOD-CONCESSION-0460,ROYAL GOLDEN EAGLE,PT NUSA PRIMA MANUNGGAL,RIAU,SUMATRA,ROYAL GOLDEN EAGLE,APRIL,PLANTATION,"69412,91"
2015,ID-WOOD-CONCESSION-0454,ROYAL GOLDEN EAGLE,PT NUSA WANA RAYA,RIAU,SUMATRA,ROYAL GOLDEN EAGLE,APRIL,PLANTATION,"162275,67"
2015,ID-WOOD-CONCESSION-0459,ROYAL GOLDEN EAGLE,PT NUSANTARA SENTOSA RAYA,RIAU,SUMATRA,ROYAL GOLDEN EAGLE,APRIL,PLANTATION,"112763,24"
2015,ID-WOOD-CONCESSION-0451,UNKNOWN AFFILIATION,PT PERANAP TIMBER,RIAU,SUMATRA,ROYAL GOLDEN EAGLE,APRIL,PLANTATION,"68525,38"
2015,ID-WOOD-CONCESSION-0435,SINAR MAS,PT PERAWANG SUKSES PERKASA,RIAU,SUMATRA,SINAR MAS,INDAH KIAT,PLANTATION,"393759,4"
2015,ID-WOOD-CONCESSION-0477,SINAR MAS,PT RIAU ABADI LESTARI,RIAU,SUMATRA,SINAR MAS,INDAH KIAT,PLANTATION,"36201,14"
2015,ID-WOOD-CONCESSION-0477,SINAR MAS,PT RIAU ABADI LESTARI,RIAU,SUMATRA,SINAR MAS,INDAH KIAT,PLANTATION,"13985,21"
2015,ID-WOOD-CONCESSION-0477,SINAR MAS,PT RIAU ABADI LESTARI,RIAU,SUMATRA,SINAR MAS,INDAH KIAT,PLANTATION,"7233,77"
2015,ID-WOOD-CONCESSION-0476,ROYAL GOLDEN EAGLE,PT RIAU ANDALAN PULP & PAPER,RIAU,SUMATRA,ROYAL GOLDEN EAGLE,APRIL,PLANTATION,"1426227,33"
2015,ID-WOOD-CONCESSION-0476,ROYAL GOLDEN EAGLE,PT RIAU ANDALAN PULP & PAPER,RIAU,SUMATRA,ROYAL GOLDEN EAGLE,APRIL,PLANTATION,"791855,21"
2015,ID-WOOD-CONCESSION-0476,ROYAL GOLDEN EAGLE,PT RIAU ANDALAN PULP & PAPER,RIAU,SUMATRA,ROYAL GOLDEN EAGLE,APRIL,PLANTATION,"374228,25"
2015,ID-WOOD-CONCESSION-0476,ROYAL GOLDEN EAGLE,PT RIAU ANDALAN PULP & PAPER,RIAU,SUMATRA,ROYAL GOLDEN EAGLE,APRIL,PLANTATION,"331273,07"
2015,ID-WOOD-CONCESSION-0484,SINAR MAS,PT RIMBA HUTANI MAS,SUMATERA SELATAN,SUMATRA,SINAR MAS,INDAH KIAT,PLANTATION,"882690,48"
2015,ID-WOOD-CONCESSION-0416,SINAR MAS,PT RIMBA HUTANI MAS,JAMBI,SUMATRA,SINAR MAS,LONTAR PAPYRUS,PLANTATION,"321448,13"
2015,ID-WOOD-CONCESSION-0447,UNKNOWN AFFILIATION,PT RIMBA LAZUARDI,RIAU,SUMATRA,ROYAL GOLDEN EAGLE,APRIL,PLANTATION,"157573,66"
2015,ID-WOOD-CONCESSION-0447,UNKNOWN AFFILIATION,PT RIMBA LAZUARDI,RIAU,SUMATRA,ROYAL GOLDEN EAGLE,APRIL,PLANTATION,"3963,46"
2015,ID-WOOD-CONCESSION-0443,SINAR MAS,PT RIMBA MANDAU LESTARI,RIAU,SUMATRA,SINAR MAS,INDAH KIAT,PLANTATION,"103290,38"
2015,ID-WOOD-CONCESSION-0452,UNKNOWN AFFILIATION,PT RIMBA MUTIARA PERMAI,RIAU,SUMATRA,ROYAL GOLDEN EAGLE,APRIL,PLANTATION,"172093,08"
2015,ID-WOOD-CONCESSION-0542,SINAR MAS,PT RUAS UTAMA JAYA,RIAU,SUMATRA,SINAR MAS,INDAH KIAT,PLANTATION,"283810,29"
2015,ID-WOOD-CONCESSION-0542,SINAR MAS,PT RUAS UTAMA JAYA,RIAU,SUMATRA,SINAR MAS,INDAH KIAT,PLANTATION,"44051,54"
2015,ID-WOOD-CONCESSION-0482,SINAR MAS,PT SATRIA PERKASA AGUNG (SK 244),RIAU,SUMATRA,SINAR MAS,INDAH KIAT,PLANTATION,"265181,32"
2015,ID-WOOD-CONCESSION-0482,SINAR MAS,PT SATRIA PERKASA AGUNG (SK 244),RIAU,SUMATRA,SINAR MAS,INDAH KIAT,PLANTATION,"180186,52"
2015,ID-WOOD-CONCESSION-0482,SINAR MAS,PT SATRIA PERKASA AGUNG (SK 244),RIAU,SUMATRA,SINAR MAS,INDAH KIAT,PLANTATION,"88722,61"
